asset_id,path,title,creator_or_rightsholder,source_url,license_or_reuse_basis,license_url,changes,alt_text,caption,placement,date_checked,review_status
VIS-001,assets/illustrations/doctoral-journey-checkpoints.png,The doctoral journey checkpoints,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,None,"A graduate researcher stands at the beginning of a winding path made from notebooks and document stacks, with a thesis and graduation gown visible in the distance.",You can see the whole journey without trying to complete the whole journey today.,checklists/doctoral-journey.qmd,2026-08-29,approved
VIS-002,assets/contributions/github-reader-form.png,Handbook GitHub reader suggestion form,GitHub Inc. interface; screenshot captured by The Handbook for the Recently Enrolled project,https://github.com/hareshsuppiah/handbook-for-the-recently-enrolled/issues/new?template=share-feedback.yml,Third-party interface screenshot reproduced for instruction; excluded from the handbook CC BY 4.0 licence,,Cropped to remove browser chrome and account identity,"The GitHub suggestion form shows a title field, a feedback-type menu and prompts asking what the reader was trying to do and what should change.","The suggestion form after sign-in. GitHub calls the public record an issue, but readers are not asked to edit code.",contributions/how-to-help.qmd,2026-08-29,approved
VIS-003,assets/cover-artwork.png,Selected cover artwork,The Handbook for the Recently Enrolled project; human art direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Selected from three original concepts; no lettering embedded in the generated artwork,"A graduate researcher stands in a dim uncanny library at a circular threshold, with shelves, arches and a brighter corridor ahead.",Original cover artwork for the handbook.,book sidebar and cover derivatives,2026-08-30,approved
VIS-004,assets/cover-final.png,Final portrait cover,The Handbook for the Recently Enrolled project; human art direction by Haresh Suppiah; artwork generated with OpenAI image tools,,Project-created AI-assisted artwork with project-created typography; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,"Exact title, subtitle, author credit, distressed cover treatment and layout added to VIS-003","A distressed dark-brown book cover titled The Handbook for the Recently Enrolled, with a graduate researcher approaching an uncanny library threshold.",The Handbook for the Recently Enrolled cover.,global left sidebar,2026-08-30,approved
VIS-005,assets/cover.svg,Vector cover derivative,The Handbook for the Recently Enrolled project,,Project-created derivative; CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Vector layout derived from the approved cover direction,A distressed brown handbook cover with cream and dusty-pink title lettering and an abstract lower threshold scene.,Vector cover derivative.,repository and fallback use,2026-08-30,approved
VIS-006,assets/cover-sidebar.svg,Sidebar cover derivative,The Handbook for the Recently Enrolled project,,Project-created derivative; CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Simplified and resized for narrow sidebar display,A compact distressed brown handbook cover with cream and dusty-pink title lettering.,Compact cover derivative for small displays.,legacy or fallback sidebar use,2026-08-30,approved
VIS-007,assets/favicon.svg,Handbook favicon,The Handbook for the Recently Enrolled project,,Project-created derivative; CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Simplified to remain legible at favicon size,A small dark-brown handbook symbol with a dusty-pink accent.,Handbook site icon.,browser tab and bookmarks,2026-08-30,approved
VIS-008,assets/cover-concepts/variant-a-library-threshold.png,Cover concept A: library threshold,The Handbook for the Recently Enrolled project; human art direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Unlettered concept retained as part of the design record,A graduate researcher approaches an uncanny library threshold.,Original cover concept A; not selected.,design record only,2026-08-30,rejected concept retained
VIS-009,assets/cover-concepts/variant-b-archive-corridor.png,Cover concept B: archive corridor,The Handbook for the Recently Enrolled project; human art direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Unlettered concept retained as part of the design record,A graduate researcher walks through an uncanny archive corridor.,Original cover concept B; not selected.,design record only,2026-08-30,rejected concept retained
VIS-010,assets/cover-concepts/variant-c-crossroads.png,Cover concept C: crossroads,The Handbook for the Recently Enrolled project; human art direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Selected concept; byte-identical source of VIS-003,A graduate researcher stands at a circular crossroads inside an uncanny library.,Original cover concept C; selected for the final cover.,design record and source artwork,2026-08-30,approved
VIS-MEME-001,assets/original-memes/final-final-file-tree.jpg,The final-final file tree,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Generated without lettering; captions added as live text,A tired graduate researcher sits beneath an enormous branching tree made from duplicate digital folders.,The thesis has one contribution. It also has fourteen final versions.,templates/folder-file-naming.qmd,2026-08-30,approved by project lead
VIS-MEME-002,assets/original-memes/endless-literature-search.jpg,Endless literature searching,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Generated without lettering; captions added as live text,"A graduate researcher faces a whirlpool made from browser tabs, papers and references while a small decision remains untouched on the desk.",I’ll stop after one more paper. The paper has 63 references.,stuck/endless-searching.qmd,2026-08-30,approved by project lead
VIS-MEME-003,assets/original-memes/shiny-tool-distraction.jpg,The shiny new research tool,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Generated without lettering; captions added as live text,A graduate researcher drops a stack of unfinished work while staring at a glowing new machine.,My current workflow works. But this new app has a gradient.,chapters/part-08/22-minimum-viable-stack.qmd,2026-08-30,approved by project lead
VIS-MEME-004,assets/original-memes/footnote-perfectionism.jpg,Footnote perfectionism,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Generated without lettering; captions added as live text,A graduate researcher inspects one tiny footnote with a magnifying glass while a huge unfinished thesis waits behind them.,The thesis is missing two chapters. This comma however is now perfect.,chapters/part-11/32-technical-failure-perfectionism.qmd,2026-08-30,approved by project lead
VIS-MEME-005,assets/original-memes/two-buttons.jpg,Ask or keep guessing,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Original riff on a familiar two-choice meme structure; no existing template copied,A graduate researcher sweats while trying to choose between two oversized unlabelled buttons on a desk.,Ask a five-minute question. Or spend three days guessing.,chapters/part-02/04-roles-and-expectations.qmd,2026-08-30,approved by project lead
